participantId,langAbv,lang,trialNum,termNum,colorNum,name,displayName,match,colorSpace,r,g,b,rgbSet,studyVersion,instructionsLocale,browserLocale,background
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,0,rojo,rojo,no,rgb,120,16,99,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,1,rojo,rojo,no,rgb,159,229,146,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,2,rojo,rojo,no,rgb,91,79,68,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,3,rojo,rojo,no,rgb,64,23,142,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,4,rojo,rojo,no,rgb,161,92,182,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,5,rojo,rojo,no,rgb,80,125,134,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,6,rojo,rojo,no,rgb,253,86,54,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,0,7,rojo,rojo,no,rgb,79,175,48,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,1,0,violeta,violeta,no,rgb,120,16,99,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,1,1,violeta,violeta,no,rgb,159,229,146,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,1,2,violeta,violeta,no,rgb,91,79,68,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,1,3,violeta,violeta,no,rgb,64,23,142,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,1,4,violeta,violeta,yes,rgb,161,92,182,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),1,1,5,violeta,violeta,no,rgb,80,125,134,full,2.1.2,en,es,white
