participantId,langAbv,lang,trialNum,termNum,colorNum,name,displayName,match,colorSpace,r,g,b,rgbSet,studyVersion,instructionsLocale,browserLocale,background
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,0,lightbluegreen,light blue green,no,rgb,124,161,209,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,1,lightbluegreen,light blue green,no,rgb,124,23,119,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,2,lightbluegreen,light blue green,no,rgb,163,148,164,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,3,lightbluegreen,light blue green,no,rgb,87,50,223,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,4,lightbluegreen,light blue green,no,rgb,138,120,101,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,5,lightbluegreen,light blue green,no,rgb,172,94,36,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,6,lightbluegreen,light blue green,no,rgb,45,51,126,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,0,7,lightbluegreen,light blue green,no,rgb,97,51,202,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,0,pink,pink,no,rgb,124,161,209,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,1,pink,pink,no,rgb,124,23,119,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,2,pink,pink,no,rgb,163,148,164,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,3,pink,pink,no,rgb,87,50,223,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,4,pink,pink,no,rgb,138,120,101,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,5,pink,pink,no,rgb,172,94,36,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,6,pink,pink,no,rgb,45,51,126,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,1,7,pink,pink,no,rgb,97,51,202,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,0,lavender,lavender,no,rgb,124,161,209,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,1,lavender,lavender,no,rgb,124,23,119,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,2,lavender,lavender,somewhat,rgb,163,148,164,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,3,lavender,lavender,no,rgb,87,50,223,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,4,lavender,lavender,no,rgb,138,120,101,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,5,lavender,lavender,no,rgb,172,94,36,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,6,lavender,lavender,no,rgb,45,51,126,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,2,7,lavender,lavender,no,rgb,97,51,202,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,0,brown,brown,no,rgb,124,161,209,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,1,brown,brown,no,rgb,124,23,119,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,2,brown,brown,no,rgb,163,148,164,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,3,brown,brown,no,rgb,87,50,223,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,4,brown,brown,yes,rgb,138,120,101,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,5,brown,brown,no,rgb,172,94,36,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,6,brown,brown,no,rgb,45,51,126,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),1,3,7,brown,brown,no,rgb,97,51,202,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,0,lightblue,light blue,no,rgb,236,205,69,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,1,lightblue,light blue,no,rgb,159,96,247,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,2,lightblue,light blue,no,rgb,226,175,195,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,3,lightblue,light blue,no,rgb,209,8,112,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,4,lightblue,light blue,no,rgb,191,148,248,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,5,lightblue,light blue,no,rgb,52,45,121,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,6,lightblue,light blue,no,rgb,118,219,102,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,0,7,lightblue,light blue,no,rgb,43,3,71,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,0,orange,orange,no,rgb,236,205,69,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,1,orange,orange,no,rgb,159,96,247,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,2,orange,orange,no,rgb,226,175,195,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,3,orange,orange,no,rgb,209,8,112,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,4,orange,orange,no,rgb,191,148,248,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,5,orange,orange,no,rgb,52,45,121,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,6,orange,orange,no,rgb,118,219,102,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,1,7,orange,orange,no,rgb,43,3,71,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,0,pastelblue,pastel blue,no,rgb,236,205,69,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,1,pastelblue,pastel blue,no,rgb,159,96,247,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,2,pastelblue,pastel blue,no,rgb,226,175,195,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,3,pastelblue,pastel blue,no,rgb,209,8,112,full,2.0.2,en,en,white
e14b51d5-465c-43f0-974e-cdea23a1e615,en,English (English),3,2,4,pastelblue,pastel blue,no,rgb,191,148,248,full,2.0.2,en,en,white
