participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
5509,hr,Croatian (hrvatski jezik),zutozelena,žuto zelena,žuto zelena,rgb,163,255,0,1,0,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),neboplava,nebo plava,nebo plava,rgb,0,176,255,1,1,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),bojaciklame,boja ciklame,boja ciklame,rgb,255,0,130,1,2,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),polutirkiznozelena,polu tirkizno zelena,polu tirkizno zelena,rgb,0,255,104,1,3,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),safirnoplava,safirno plava,safirno plava,rgb,0,62,255,1,4,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),ljubicasta,ljubičasta,ljubičasta,rgb,128,0,255,1,5,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),tamnonarancasta,tamno narančasta,tamno narančasta,rgb,255,109,0,1,6,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),neonskozelena,neonsko zelena,neonsko zelena,rgb,121,255,0,1,7,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),zetplava,zet plava,zet plava,rgb,0,124,255,1,8,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),narancasta,narančasta,narančasta,rgb,255,143,0,1,9,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),svijetloplava,svijetlo plava,svijetlo plava,rgb,0,224,255,1,10,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),tamnozuta,tamno žuta,tamno žuta,rgb,255,195,0,1,11,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),zutozelena,žuto zelena,žuto zelena,rgb,195,255,0,3,0,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),babyzelena,baby zelena,baby zelena,rgb,0,255,72,3,1,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),crvenoroza,crveno roza,crveno roza,rgb,255,0,57,3,2,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,189,255,3,3,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),zuta,žuta,žuta,rgb,255,214,0,3,4,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,82,255,3,5,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),ljubicasta,ljubičasta,ljubičasta,rgb,255,0,164,3,6,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),ljubicasta,ljubičasta,ljubičasta,rgb,255,0,246,3,7,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),azurnoplava,azurno plava,azurno plava,rgb,0,255,217,3,8,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,141,255,3,9,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,98,255,3,10,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),tirkizna,tirkizna,tirkizna,rgb,0,255,131,3,11,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),narancasta,narančasta,narančasta,rgb,255,159,0,6,0,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),ljubicasta,ljubičasta,ljubičasta,rgb,255,0,232,6,1,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),crvena,crvena,crvena,rgb,255,0,31,6,2,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),ljubicasta,ljubičasta,ljubičasta,rgb,255,0,208,6,3,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),ruzicasta,ružičasta,ružičasta,rgb,255,0,94,6,4,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),zuta,žuta,žuta,rgb,255,255,0,6,5,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),ljubicasta,ljubičasta,ljubičasta,rgb,216,0,255,6,6,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),crvena,crvena,crvena,rgb,255,59,0,6,7,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,233,255,6,8,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,255,235,6,9,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),zelena,zelena,zelena,rgb,0,255,161,6,10,line,white,en,,1.1.2,
5509,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,26,255,6,11,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),zutozelena,zutozelena,Zutozelena,rgb,196,255,0,1,0,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),ljubicasta,ljubicasta,Ljubicasta,rgb,238,0,255,1,1,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),bez,bez,Bez,rgb,255,152,0,1,2,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),plava,plava,Plava,rgb,0,132,255,1,3,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),tirkizna,tirkizna,Tirkizna,rgb,0,224,255,1,4,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),crvena,crvena,Crvena,rgb,255,0,61,1,5,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),zuta,zuta,Zuta,rgb,255,245,0,1,6,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),narancasta,narancasta,Narancasta,rgb,255,97,0,1,7,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),pink,pink,Pink,rgb,255,0,123,1,8,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),mangenta,mangenta,Mangenta,rgb,255,0,84,1,9,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),svijetloplava,svijetloplava,Svijetloplava,rgb,0,230,255,1,10,line,white,en,,1.1.2,
5650,hr,Croatian (hrvatski jezik),plava,plava,Plava,rgb,0,204,255,1,11,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),svijetloplava,svijetlo plava,svijetlo plava,rgb,0,255,250,1,2,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),crvena,crvena,crvena,rgb,255,0,47,1,4,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),zelena,zelena,zelena,rgb,0,255,116,1,5,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),zuta,žuta,žuta,rgb,255,235,0,1,6,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),narancasta,narančasta,narančasta,rgb,255,173,0,1,7,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),kraljevskoplava,kraljevsko plava,kraljevsko plava,rgb,69,0,255,1,8,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,42,255,1,10,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),bojafuksije,boja fuksije,boja fuksije,rgb,255,0,130,3,0,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),zuta,žuta,žuta,rgb,244,255,0,3,2,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),ljubicasta,ljubičasta,ljubičasta,rgb,203,0,255,3,3,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,71,255,3,4,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),tamnonarancasta,tamno narančasta,tamno narančasta,rgb,255,125,0,3,7,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),tamnoljubicasta,tamno ljubičasta,tamno ljubičasta,rgb,155,0,255,3,11,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),zagasitoplava,zagasito plava,zagasito plava,rgb,0,175,255,6,3,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),zutonarancasta,žuto narančasta,žuto narančasta,rgb,255,182,0,6,5,line,white,en,,1.1.2,
6482,hr,Croatian (hrvatski jezik),limetazelena,limeta zelena,limeta zelena,rgb,171,255,0,6,10,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),narancasta,narancasta,narancasta,rgb,255,122,0,1,0,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),tamnoplava,tamno plava,tamno plava,rgb,0,47,255,1,1,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),naviplava,navi plava,navi plava,rgb,0,140,255,1,2,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),svjetloplava,svjetlo plava,svjetlo plava,rgb,0,251,255,1,3,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,81,255,1,4,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),tamnozuta,tamno zuta,tamno zuta,rgb,255,212,0,1,5,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),crvena,crvena,crvena,rgb,255,0,26,1,6,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),zuta,zuta,zuta,rgb,255,255,0,1,7,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),zelenozut,zeleno zut,zeleno zut,rgb,194,255,0,1,8,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),svjetlonarancasta,svjetlo narancasta,svjetlo narancasta,rgb,255,155,0,1,9,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),zelena,zelena,zelena,rgb,81,255,0,1,10,line,white,en,,1.1.2,
6652,hr,Croatian (hrvatski jezik),nebo,nebo,nebo,rgb,0,228,255,1,11,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),ljubicasta,ljubicasta,ljubicasta,rgb,187,0,255,1,0,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),zelena,zelena,zelena,rgb,0,255,67,1,1,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),narancasta,narancasta,narancasta,rgb,255,114,0,1,2,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),tamnoplava,tamno plava,tamno plava,rgb,0,34,255,1,3,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),roza,roza,roza,rgb,255,0,125,1,4,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,168,255,1,5,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),zuta,zuta,zuta,rgb,207,255,0,1,6,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,144,255,1,7,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),roza,roza,roza,rgb,230,0,255,1,8,line,white,en,,1.1.2,
8642,hr,Croatian (hrvatski jezik),plava,plava,plava,rgb,0,188,255,1,9,line,white,en,,1.1.2,
