participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
0,te,Telugu (తెలుగు),ఉదా,ఉదా,ఉదా,rgb,152,0,255,1,0,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),గులాబి,గులాబి,గులాబి,rgb,255,0,226,1,1,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),చిలుకపచచ,చిలుక పచ్చ,చిలుక పచ్చ,rgb,197,255,0,1,2,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,255,241,1,3,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నారింజ,నారింజ,నారింజ,rgb,255,94,0,1,4,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పసుపపచచ,పసుప్పచ్చ,పసుప్పచ్చ,rgb,255,218,0,1,5,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పసుపపచచ,పసుప్పచ్చ,పసుప్పచ్చ,rgb,255,255,0,1,6,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,78,255,1,7,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,129,255,1,8,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),ఎరర,ఎర్ర,ఎర్ర,rgb,255,0,77,1,9,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పచచ,పచ్చ,పచ్చ,rgb,79,255,0,1,10,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పచచ,పచ్చ,పచ్చ,rgb,0,255,133,1,11,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,246,255,3,0,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),ఎరర,ఎర్ర,ఎర్ర,rgb,255,0,99,3,1,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,139,255,3,2,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నారింజ,నారింజ,నారింజ,rgb,255,66,0,3,3,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),గులాబి,గులాబి,గులాబి,rgb,255,0,120,3,4,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),ఊదా,ఊదా,ఊదా,rgb,244,0,255,3,5,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),ఎరర,ఎర్ర,ఎర్ర,rgb,255,0,15,3,6,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,61,255,3,7,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పసుపపచచ,పసుప్పచ్చ,పసుప్పచ్చ,rgb,255,179,0,3,8,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,185,255,3,9,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,221,255,3,10,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పసుపపచచ,పసుప్పచ్చ,పసుప్పచ్చ,rgb,255,207,0,3,11,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,10,255,6,0,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),గులాబి,గులాబి,గులాబి,rgb,255,0,167,6,1,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పచచ,పచ్చ,పచ్చ,rgb,0,255,189,6,2,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పచచ,పచ్చ,పచ్చ,rgb,0,255,217,6,3,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నారింజ,నారింజ,నారింజ,rgb,255,132,0,6,4,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),పచచ,పచ్చ,పచ్చ,rgb,0,255,7,6,5,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),నీలం,నీలం,నీలం,rgb,0,171,255,6,6,line,white,en,,1.1.5,
0,te,Telugu (తెలుగు),గులాబి,గులాబి,గులాబి,rgb,255,0,194,6,7,line,white,en,,1.1.5,
