participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
3154,ur,Urdu (اردو),peela,peela,peela,rgb,255,240,0,1,0,line,white,en,,pilot,
3154,ur,Urdu (اردو),hara,hara,hara,rgb,80,255,0,1,1,line,white,en,,pilot,
3154,ur,Urdu (اردو),laal,laal,laal,rgb,255,53,0,1,2,line,white,en,,pilot,
3154,ur,Urdu (اردو),orange,orange,orange,rgb,255,198,0,1,3,line,white,en,,pilot,
3154,ur,Urdu (اردو),gullabi,gullabi,gullabi,rgb,255,0,193,1,4,line,white,en,,pilot,
3154,ur,Urdu (اردو),maroon,maroon,maroon,rgb,255,0,78,1,5,line,white,en,,pilot,
3154,ur,Urdu (اردو),asmani,asmani,Asmani,rgb,0,213,255,1,6,line,white,en,,pilot,
3154,ur,Urdu (اردو),gullabi,gullabi,gullabi,rgb,255,0,139,1,7,line,white,en,,pilot,
3154,ur,Urdu (اردو),hara,hara,hara,rgb,186,255,0,1,8,line,white,en,,pilot,
3154,ur,Urdu (اردو),peela,peela,peela,rgb,255,246,0,1,9,line,white,en,,pilot,
3154,ur,Urdu (اردو),neela,neela,neela,rgb,0,74,255,1,10,line,white,en,,pilot,
3154,ur,Urdu (اردو),orange,orange,orange,rgb,255,140,0,1,11,line,white,en,,pilot,
4728,ur,Urdu (اردو),gulabi,gulabi,gulabi,rgb,255,0,182,1,0,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),sawa,sawa,sawa,rgb,176,255,0,1,1,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),jamini,jamini,jamini,rgb,232,0,255,1,2,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),orange,orange,orange,rgb,255,157,0,1,3,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),neela,neela,neela,rgb,0,143,255,1,4,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),peela,peela,peela,rgb,255,223,0,1,6,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),sua,sua,sua,rgb,255,81,0,1,7,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),sawa,sawa,sawa,rgb,0,255,141,1,8,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),surukj,surukj,surukj,rgb,255,0,6,1,9,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),neela,neela,neela,rgb,0,126,255,1,10,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),neela,neela,neela,rgb,0,237,255,1,11,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),sua,sua,sua,rgb,255,0,77,3,0,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),sawa,sawa,sawa,rgb,0,255,178,3,2,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),jamuni,jamuni,jamuni,rgb,162,0,255,3,3,line,white,en,,1.1.2,
4728,ur,Urdu (اردو),peela,peela,peela,rgb,255,207,0,3,4,line,white,en,,1.1.2,
