participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),akashnila,akash nila,akash nila,rgb,199,206,252,1,0,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),gulopiya,gulopiya,gulopiya,rgb,218,82,182,1,1,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),heujiya,heujiya,heujiya,rgb,85,253,103,1,2,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),heujiya,heujiya,heujiya,rgb,149,195,137,1,3,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),benguniya,benguniya,benguniya,rgb,150,35,153,1,4,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),dathheujiya,dath heujiya,dath heujiya,rgb,64,80,15,1,5,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),komola,komola,komola,rgb,236,125,117,1,6,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),motiya,motiya,motiya,rgb,99,44,47,1,7,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),kola,kola,kola,rgb,22,5,32,1,8,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),dathronga,dath ronga,dath ronga,rgb,108,22,82,1,9,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),nila,nila,nila,rgb,26,117,151,1,10,full,white,en,en,2.1.2,
dbb8c69d-1388-49e8-b2fe-d81865e9570d,as,Assamese (অসমীয়া),dathnila,dath nila,dath nila,rgb,62,49,218,1,11,full,white,en,en,2.1.2,
