participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4230,hi,"Hindi (हिन्दी, हिंदी)",peela,peela,peela,rgb,255,255,0,1,0,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,97,255,1,1,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",laal,laal,laal,rgb,255,0,44,1,2,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",narangi,narangi,narangi,rgb,255,90,0,1,3,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,169,255,1,4,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,0,255,129,1,5,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,155,255,1,6,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,0,255,114,1,7,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,255,181,1,8,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",gulaabi,gulaabi,gulaabi,rgb,255,0,93,1,9,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,252,255,1,10,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",peela,peela,peela,rgb,222,255,0,1,11,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,36,255,3,0,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",laal,laal,laal,rgb,255,59,0,3,1,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,165,255,0,3,2,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,79,0,255,3,3,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,114,255,0,3,4,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",baigani,baigani,baigani,rgb,179,0,255,3,5,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",gulaabi,gulaabi,gulaabi,rgb,255,0,229,3,6,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",gulaabi,gulaabi,gulaabi,rgb,255,0,249,3,7,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",peela,peela,peela,rgb,255,232,0,3,8,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",gulabi,gulabi,gulabi,rgb,255,0,196,3,9,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,255,239,3,10,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",gulaabi,gulaabi,gulaabi,rgb,255,0,133,3,11,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",peela,peela,peela,rgb,255,189,0,6,0,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",narangi,narangi,narangi,rgb,255,169,0,6,1,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",laal,laal,laal,rgb,255,0,65,6,2,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,255,207,6,3,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,122,255,6,4,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,208,255,6,5,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",gulaabi,gulaabi,gulaabi,rgb,255,0,170,6,6,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,204,255,6,7,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",peela,peela,peela,rgb,255,143,0,6,8,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,82,255,6,9,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,0,255,45,6,10,line,white,en,,pilot,
4230,hi,"Hindi (हिन्दी, हिंदी)",baingani,baingani,baingani,rgb,128,0,255,6,11,line,white,en,,pilot,
10694,hi,"Hindi (हिन्दी, हिंदी)",laal,laal,Laal,rgb,255,0,56,1,0,line,white,en,,1.1.2,
10694,hi,"Hindi (हिन्दी, हिंदी)",nila,nila,Nila,rgb,0,192,255,1,2,line,white,en,,1.1.2,
10694,hi,"Hindi (हिन्दी, हिंदी)",nila,nila,Nila,rgb,0,208,255,1,3,line,white,en,,1.1.2,
10694,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,Hara,rgb,0,255,170,1,4,line,white,en,,1.1.2,
10694,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,Hara,rgb,0,255,88,1,5,line,white,en,,1.1.2,
10694,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,Hara,rgb,0,255,149,1,6,line,white,en,,1.1.2,
10694,hi,"Hindi (हिन्दी, हिंदी)",pila,pila,Pila,rgb,227,255,0,1,9,line,white,en,,1.1.2,
10694,hi,"Hindi (हिन्दी, हिंदी)",pila,pila,Pila,rgb,234,255,0,1,11,line,white,en,,1.1.2,
18249,hi,"Hindi (हिन्दी, हिंदी)",narangee,narangee,narangee,rgb,255,149,0,1,0,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",lal,lal,lal,rgb,255,0,71,1,1,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,46,0,255,1,2,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,103,255,0,1,3,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,128,255,1,4,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,0,255,183,1,5,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",hara,hara,hara,rgb,0,255,134,1,6,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,204,255,1,7,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,162,255,1,8,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",gulabi,gulabi,gulabi,rgb,255,0,165,1,9,line,white,en,,1.1.5,
18249,hi,"Hindi (हिन्दी, हिंदी)",neela,neela,neela,rgb,0,43,255,1,10,line,white,en,,1.1.5,
