participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
5433,cs,"Czech (čeština, český jazyk)",ruzova,růžová,růžová,rgb,255,0,204,1,0,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,151,255,1,1,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",zluta,žlutá,žlutá,rgb,246,255,0,1,2,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,43,255,0,1,3,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tyrkysova,tyrkysová,tyrkysová,rgb,0,255,219,1,4,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",svetlemodra,světle modrá,světle modrá,rgb,0,209,255,1,5,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",svetlemodra,světle modrá,světle modrá,rgb,0,194,255,1,6,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",cervena,červená,červená,rgb,255,6,0,1,7,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",sytemodra,sytě modrá,sytě modrá,rgb,0,81,255,1,8,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,oranžová,rgb,255,107,0,1,9,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",fialova,fialová,fialová,rgb,120,0,255,1,11,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",pastelovemodra,pastelově modrá,pastelově modrá,rgb,0,181,255,3,0,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tyrkysova,tyrkysová,tyrkysová,rgb,0,255,253,3,1,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",cervena,červená,červená,rgb,255,0,3,3,2,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tmaveruzova,tmavě růžová,tmavě růžová,rgb,255,0,123,3,3,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",zelinkava,zelinkavá,zelinkavá,rgb,0,255,123,3,4,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,oranžová,rgb,255,148,0,3,5,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",zlutozelena,žlutozelená,žlutozelená,rgb,212,255,0,3,6,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,134,255,3,7,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tmavemodra,tmavě modrá,tmavě modrá,rgb,0,44,255,3,8,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tmavemodra,tmavě modrá,tmavě modrá,rgb,0,91,255,3,9,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",fialova,fialová,fialová,rgb,255,0,228,3,10,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",ruzovofialova,růžovofialová,růžovofialová,rgb,255,0,158,3,11,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",svetlezelena,světle zelená,světle zelená,rgb,157,255,0,6,0,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",zlutooranzova,žlutooranžová,žlutooranžová,rgb,255,222,0,6,1,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",fialova,fialová,fialová,rgb,220,0,255,6,2,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,0,255,95,6,3,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tyrkysova,tyrkysová,tyrkysová,rgb,0,235,255,6,4,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,0,255,69,6,5,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",fialova,fialová,fialová,rgb,170,0,255,6,6,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",petrolejova,petrolejová,petrolejová,rgb,0,255,187,6,7,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tmaveruzova,tmavě růžová,tmavě růžová,rgb,255,0,101,6,8,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,oranžová,rgb,255,156,0,6,9,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",ruda,rudá,rudá,rgb,255,0,69,6,10,line,white,en,,1.1.2,
5433,cs,"Czech (čeština, český jazyk)",tmavemodra,tmavě modrá,tmavě modrá,rgb,88,0,255,6,11,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,0,255,159,3,0,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,oranžová,rgb,255,127,0,3,1,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,0,255,137,3,2,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,oranžová,rgb,255,198,0,3,3,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,156,255,0,3,4,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,255,229,3,5,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",ruzova,růžová,růžová,rgb,255,0,137,3,6,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,100,255,3,7,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,252,255,3,8,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,57,255,3,9,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,188,255,3,10,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,166,255,3,11,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,195,255,0,6,0,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",fialova,fialová,fialová,rgb,255,0,244,6,1,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",modra,modrá,modrá,rgb,0,122,255,6,2,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,127,255,0,6,3,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,oranžová,rgb,255,216,0,6,4,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,0,255,77,6,5,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",zelena,zelená,zelená,rgb,235,255,0,6,6,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",ruzova,růžová,růžová,rgb,255,0,145,6,7,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",cervena,červená,červená,rgb,255,0,3,6,8,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",fialova,fialová,fialová,rgb,170,0,255,6,9,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,oranžová,rgb,255,177,0,6,10,line,white,en,,1.1.2,
5644,cs,"Czech (čeština, český jazyk)",cervena,červená,červená,rgb,255,0,56,6,11,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,Oranžová,rgb,255,171,0,1,0,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,Oranžová,rgb,255,114,0,1,1,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",tyrkysova,tyrkysová,Tyrkysová,rgb,0,245,255,1,2,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",limetova,limetová,Limetová,rgb,196,255,0,1,3,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",cervena,červená,Červená,rgb,255,30,0,1,4,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",modra,modrá,Modrá,rgb,65,0,255,1,5,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",svetlemodra,světle modrá,Světle modrá,rgb,0,219,255,1,6,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",tyrkysova,tyrkysová,Tyrkysová,rgb,0,255,207,1,7,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",vinova,vínová,Vínová,rgb,255,0,150,1,8,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",fialova,fialová,Fialová,rgb,242,0,255,1,9,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",oranzova,oranžová,Oranžová,rgb,255,194,0,1,10,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",vinova,vínová,Vínová,rgb,255,0,179,1,11,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",zelena,zelená,Zelená,rgb,0,255,77,3,0,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",namornickamodra,námořnická modrá,Námořnická modrá,rgb,0,129,255,3,1,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",tyrkysova,tyrkysová,Tyrkysová,rgb,0,255,242,3,2,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",fialova,fialová,Fialová,rgb,114,0,255,3,3,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",svetlezelena,světle zelená,Světle Zelená,rgb,0,255,98,3,4,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",zluta,žlutá,Žlutá,rgb,255,218,0,3,5,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",modra,modrá,Modrá,rgb,0,71,255,3,6,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",fialova,fialová,Fialová,rgb,255,0,218,3,7,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",svetlezelena,světle zelená,Světle Zelená,rgb,60,255,0,3,8,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",fialova,fialová,Fialová,rgb,217,0,255,3,9,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",modra,modrá,Modrá,rgb,0,188,255,3,10,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",modra,modrá,Modrá,rgb,0,44,255,3,11,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",ruda,rudá,Rudá,rgb,255,0,59,6,0,line,white,en,,1.1.2,
7559,cs,"Czech (čeština, český jazyk)",cervena,červená,Červená,rgb,255,0,28,6,1,line,white,en,,1.1.2,
