participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
4607,ml,Malayalam (മലയാളം),,violet,violet,rgb,191,0,255,1,1,line,white,en,,1.1.2,
e0cbd169-f16a-4338-98ad-80924d518aa4,ml,Malayalam (മലയാളം),,violet,Violet,rgb,169,1,186,1,6,full,white,en,en,2.1.2,
e0cbd169-f16a-4338-98ad-80924d518aa4,ml,Malayalam (മലയാളം),,violet,Violet,rgb,137,43,158,3,5,full,white,en,en,2.1.2,
e0cbd169-f16a-4338-98ad-80924d518aa4,ml,Malayalam (മലയാളം),,violet,Violet,rgb,148,59,194,5,0,full,white,en,en,2.1.2,
e0cbd169-f16a-4338-98ad-80924d518aa4,ml,Malayalam (മലയാളം),,violet,Violet,rgb,143,49,160,5,2,full,white,en,en,2.1.2,
df1a4911-39ae-4aca-a184-8561410d71ee,ml,Malayalam (മലയാളം),,violet,Violet,rgb,74,68,190,1,4,full,white,en,en,2.1.2,
107d0bfe-c012-48f4-9d1c-75c324b1e777,ml,Malayalam (മലയാളം),,violet,Violet,rgb,149,101,191,1,4,full,white,en,en,2.1.2,
107d0bfe-c012-48f4-9d1c-75c324b1e777,ml,Malayalam (മലയാളം),,violet,Violet,rgb,162,38,226,3,10,full,white,en,en,2.1.2,
5aa50f86-bfab-47b9-b1e9-29b32de1ec79,ml,Malayalam (മലയാളം),,violet,violet,rgb,107,54,184,1,4,full,white,en,en,2.1.2,
5aa50f86-bfab-47b9-b1e9-29b32de1ec79,ml,Malayalam (മലയാളം),,violet,violet,rgb,187,2,242,3,11,full,white,en,en,2.1.2,
1517174f-69fa-4025-883c-cc5b463b3b49,ml,Malayalam (മലയാളം),,violet,Violet,rgb,186,165,245,1,2,full,white,en,en,2.1.2,
0edbc154-0713-4dea-ba25-6ce3d637642c,ml,Malayalam (മലയാളം),,violet,violet,rgb,104,52,161,3,6,full,white,en,en,2.1.2,
1b29bd88-c209-4a54-953d-88d0b1bb9d44,ml,Malayalam (മലയാളം),,violet,Violet,rgb,163,80,222,1,2,full,white,en,en,2.1.2,
39626d03-c852-437f-93a9-a383ce905d6d,ml,Malayalam (മലയാളം),,violet,Violet,p3,0.4162,0.255876,0.766343,1,10,full,white,en,en,2.1.2,
3ae32c05-359c-464a-9b06-85ddbfc71b23,ml,Malayalam (മലയാളം),,violet,violet,rgb,65,36,122,5,5,full,white,en,en,2.1.2,
f83dd72a-881a-4b67-bc90-ebd3a355e727,ml,Malayalam (മലയാളം),,violet,Violet,rgb,140,49,233,1,5,full,white,en,en,2.1.2,
f83dd72a-881a-4b67-bc90-ebd3a355e727,ml,Malayalam (മലയാളം),,violet,Violet,rgb,154,109,211,1,9,full,white,en,en,2.1.2,
f83dd72a-881a-4b67-bc90-ebd3a355e727,ml,Malayalam (മലയാളം),,violet,Violet,rgb,144,179,240,3,6,full,white,en,en,2.1.2,
f83dd72a-881a-4b67-bc90-ebd3a355e727,ml,Malayalam (മലയാളം),,violet,Violet,rgb,175,159,187,5,5,full,white,en,en,2.1.2,
c07a4d7a-7614-4811-8674-730cb1e5ae60,ml,Malayalam (മലയാളം),,violet,Violet,rgb,201,0,255,1,0,line,white,en,en,2.1.2,
