lang,langAbv,num_bins_ring_0.2_h8,fraction_bins_ring_0.2_h8,num_bins_ring_0.1_h8,fraction_bins_ring_0.1_h8,num_bins_ring_0.05_h8,fraction_bins_ring_0.05_h8,num_bins_ring_0.025_h8,fraction_bins_ring_0.025_h8,num_bins_ring_0.2_0.05_h8,fraction_bins_ring_0.2_0.05_h8,num_bins_ring_0.1_0.025_h8,fraction_bins_ring_0.1_0.025_h8,num_bins_ring_0.067_0.017_h8,fraction_bins_ring_0.067_0.017_h8,num_bins_0.1,fraction_bins_0.1,num_bins_0.05,fraction_bins_0.05,num_bins_0.025,fraction_bins_0.025,num_bins_0.2_0.05,fraction_bins_0.2_0.05,num_bins_0.1_0.025,fraction_bins_0.1_0.025,num_bins_0.067_0.017,fraction_bins_0.067_0.017
Arabic (العربية),ar,15,0.3488372093023256,18,0.09836065573770492,26,0.02763018065887354,26,0.004432321854756222,25,0.07763975155279502,27,0.01539338654503991,25,0.004869497467861317,16,0.1103448275862069,25,0.03342245989304813,27,0.005854293148308759,22,0.08560311284046693,27,0.019494584837545126,23,0.005679012345679012
"Bengali, Bangla (বাংলা)",bn,22,0.5116279069767442,27,0.14754098360655737,1,0.0010626992561105207,0,0,11,0.034161490683229816,0,0,0,0,33,0.22758620689655173,1,0.001336898395721925,0,0,15,0.058365758754863814,0,0,0,0
Bulgarian (български език),bg,4,0.09302325581395349,2,0.01092896174863388,2,0.0021253985122210413,1,0.00017047391749062393,2,0.006211180124223602,1,0.0005701254275940707,1,0.00019477989871445267,2,0.013793103448275862,2,0.00267379679144385,1,0.0002168256721595837,2,0.007782101167315175,1,0.0007220216606498195,1,0.0002469135802469136
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,40,0.9302325581395349,147,0.8032786885245902,595,0.6323060573857598,284,0.0484145925673372,251,0.7795031055900621,677,0.38597491448118587,342,0.06661472536034281,117,0.8068965517241379,536,0.7165775401069518,340,0.07372072853425846,215,0.8365758754863813,675,0.48736462093862815,413,0.1019753086419753
Croatian (hrvatski jezik),hr,12,0.27906976744186046,8,0.04371584699453552,0,0,0,0,3,0.009316770186335404,1,0.0005701254275940707,1,0.00019477989871445267,9,0.06206896551724138,0,0,0,0,4,0.01556420233463035,0,0,1,0.0002469135802469136
"Czech (čeština, český jazyk)",cs,5,0.11627906976744186,6,0.03278688524590164,7,0.007438894792773645,4,0.0006818956699624957,6,0.018633540372670808,4,0.002280501710376283,4,0.0007791195948578107,5,0.034482758620689655,7,0.009358288770053475,5,0.0010841283607979184,5,0.019455252918287938,5,0.0036101083032490976,5,0.0012345679012345679
Danish (dansk),da,8,0.18604651162790697,10,0.0546448087431694,14,0.01487778958554729,12,0.002045687009887487,15,0.046583850931677016,13,0.007411630558722919,14,0.0027269185820023374,9,0.06206896551724138,11,0.014705882352941176,11,0.002385082393755421,11,0.042801556420233464,12,0.008664259927797834,15,0.003703703703703704
"Dutch (Nederlands, Vlaams)",nl,36,0.8372093023255814,119,0.6502732240437158,141,0.14984059511158343,74,0.01261506989430617,180,0.5590062111801242,96,0.05473204104903079,75,0.01460849240358395,96,0.6620689655172414,160,0.21390374331550802,71,0.015394622723330443,163,0.6342412451361867,112,0.08086642599277978,76,0.018765432098765432
English (English),en,42,0.9767441860465116,171,0.9344262295081968,872,0.926673751328374,5324,0.9076031367200819,305,0.9472049689440993,1628,0.928164196123147,4685,0.9125438254772108,139,0.9586206896551724,703,0.9398395721925134,4255,0.9225932350390286,246,0.9571984435797666,1304,0.9415162454873646,3733,0.9217283950617284
"Finnish (suomi, suomen kieli)",fi,28,0.6511627906976745,64,0.34972677595628415,50,0.053134962805526036,61,0.01039890896692806,64,0.19875776397515527,59,0.033637400228050174,64,0.012465913517724971,60,0.41379310344827586,45,0.06016042780748663,63,0.013660017346053772,66,0.25680933852140075,57,0.04115523465703971,64,0.01580246913580247
