participantId,langAbv,lang,trialNum,termNum,colorNum,name,displayName,match,colorSpace,r,g,b,rgbSet,studyVersion,instructionsLocale,browserLocale,background
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,0,xanhngoc,,no,p3,1,0.658497,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,1,xanhngoc,,no,p3,0.850177,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,2,xanhngoc,,no,p3,0.324295,1,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,3,xanhngoc,,no,p3,0,0.544588,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,4,xanhngoc,,yes,p3,0,0.854534,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,5,xanhngoc,,no,p3,0,1,0.412679,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,6,xanhngoc,,no,p3,0.492769,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,0,7,xanhngoc,,no,p3,0.271173,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,0,cam,,yes,p3,1,0.658497,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,1,cam,,no,p3,0.850177,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,2,cam,,no,p3,0.324295,1,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,3,cam,,no,p3,0,0.544588,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,4,cam,,no,p3,0,0.854534,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,5,cam,,no,p3,0,1,0.412679,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,6,cam,,no,p3,0.492769,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,1,7,cam,,no,p3,0.271173,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,0,xanhla,,no,p3,1,0.658497,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,1,xanhla,,no,p3,0.850177,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,2,xanhla,,yes,p3,0.324295,1,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,3,xanhla,,no,p3,0,0.544588,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,4,xanhla,,no,p3,0,0.854534,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,5,xanhla,,yes,p3,0,1,0.412679,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,6,xanhla,,no,p3,0.492769,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,2,7,xanhla,,no,p3,0.271173,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,3,0,tim,,no,p3,1,0.658497,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,3,1,tim,,no,p3,0.850177,0,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,3,2,tim,,no,p3,0.324295,1,0,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,3,3,tim,,no,p3,0,0.544588,1,line,2,en,en,black
eb4ac425-16c2-4a59-9b17-5067ba1bd90e,vi,Vietnamese (Tiếng Việt),1,3,4,tim,,no,p3,0,0.854534,1,line,2,en,en,black
