lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Arabic (العربية),ar,أحمر,أحمر,50,"rgb(255, 0, 32)",0,,,,
Arabic (العربية),ar,أخضر,أخضر,78,"rgb(0, 255, 58)",0,,,,
Arabic (العربية),ar,أخضر فاتح,أخضر فاتح,12,"rgb(0, 255, 49)",1,,,,
Arabic (العربية),ar,أزرق,أزرق,126,"rgb(0, 126, 255)",1,,,,
Arabic (العربية),ar,أزرق غامق,أزرق غامق,8,"rgb(0, 55, 255)",0,,,,
Arabic (العربية),ar,ازرق فاتح,أزرق فاتح,26,"rgb(0, 196, 255)",1,,,,
Arabic (العربية),ar,اصفر,أصفر,55,"rgb(255, 237, 0)",0,,,,
Arabic (العربية),ar,اصفر غامق,أصفر غامق,5,"rgb(255, 221, 0)",0,,,,
Arabic (العربية),ar,برتقالي,برتقالي,63,"rgb(255, 132, 0)",0,,,,
Arabic (العربية),ar,بنفسجي,بنفسجي,51,"rgb(196, 0, 255)",1,,,,
Arabic (العربية),ar,تركواز,تركواز,8,"rgb(0, 255, 198)",0,,,,
Arabic (العربية),ar,تفاحي,تفاحي,6,"rgb(0, 255, 76)",0,,,,
Arabic (العربية),ar,زهري,زهري,25,"rgb(255, 0, 172)",1,,,,
Arabic (العربية),ar,سماوي,سماوي,36,"rgb(0, 215, 255)",0,,,,
Arabic (العربية),ar,فستقي,فستقي,8,"rgb(0, 255, 96)",0,,,,
Arabic (العربية),ar,فسفوري,فسفوري,9,"rgb(140, 255, 0)",0,,,,
Arabic (العربية),ar,فوشي,فوشي,38,"rgb(255, 0, 165)",0,,,,
Arabic (العربية),ar,نيلي,نيلي,11,"rgb(0, 52, 255)",1,,,,
Arabic (العربية),ar,وردي,وردي,28,"rgb(255, 0, 163)",0,,,,
Arabic (العربية),ar,وردي غامق,وردي غامق,6,"rgb(255, 0, 159)",0,,,,
Bulgarian (български език),bg,жълто,жълто,20,"rgb(255, 235, 0)",0,,,,
Bulgarian (български език),bg,зелено,зелено,25,"rgb(0, 255, 33)",0,,,,
Bulgarian (български език),bg,лилаво,лилаво,26,"rgb(198, 0, 255)",0,,,,
Bulgarian (български език),bg,магента,магента,7,"rgb(255, 0, 187)",0,,,,
Bulgarian (български език),bg,оранжев,оранжев,5,"rgb(255, 143, 0)",0,,,,
Bulgarian (български език),bg,оранжево,оранжево,19,"rgb(255, 135, 0)",0,,,,
Bulgarian (български език),bg,розово,розово,16,"rgb(255, 0, 172)",0,,,,
Bulgarian (български език),bg,светло зелено,светлозелено,8,"rgb(0, 255, 63)",0,,,,
Bulgarian (български език),bg,светло синьо,светлосиньо,14,"rgb(0, 213, 255)",0,,,,
Bulgarian (български език),bg,син,син,7,"rgb(0, 129, 255)",0,,,,
Bulgarian (български език),bg,синьо,синьо,49,"rgb(0, 142, 255)",0,,,,
Bulgarian (български език),bg,тъмно синьо,тъмносиньо,16,"rgb(0, 64, 255)",0,,,,
Bulgarian (български език),bg,червено,червено,18,"rgb(255, 0, 42)",0,,,,
Catalan (català),ca,blau,blau,51,"rgb(0, 143, 255)",1,,,,
