lang,lang_abv,commonName,simplifiedName,tinyResBlurTermFraction,tinyResBlurAvgRGBCode,tinyResBlurAvgL,tinyResBlurAvgA,tinyResBlurAvgB,lowResBlurTermFraction,lowResBlurAvgRGBCode,lowResBlurAvgL,lowResBlurAvgA,lowResBlurAvgB,medResBlurTermFraction,medResBlurAvgRGBCode,medResBlurAvgL,medResBlurAvgA,medResBlurAvgB,highResBlurTermFraction,highResBlurAvgRGBCode,highResBlurAvgL,highResBlurAvgA,highResBlurAvgB
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮粉色,亮粉,0.002472227166980634,"rgb(234,65,209)",0.6695836033534799,0.2265063754401251,-0.10644264458926904,0.003650066394091222,"rgb(234,65,209)",0.6695836033534796,0.2265063754401251,-0.10644264458926905,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮紫色,亮紫,0.009355967734723473,"rgb(185,68,230)",0.6178858383908534,0.170154904872256,-0.17133854224690215,0.006721615882206635,"rgb(185,68,230)",0.6178858383908533,0.17015490487225596,-0.17133854224690215,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮绿色,亮绿,0.0045370101450633695,"rgb(93,239,95)",0.8447228069439715,-0.18026489728972503,0.1335387957295477,0.006699702452661872,"rgb(93,239,95)",0.8447228069439712,-0.18026489728972503,0.1335387957295477,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,亮蓝色,亮蓝,0.005945114147485839,"rgb(18,170,244)",0.7025586925200697,-0.08000739008316514,-0.13275566238408035,0.002415816913234454,"rgb(18,170,244)",0.7025586925200699,-0.08000739008316515,-0.13275566238408038,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,军绿色,军绿,0.005019316522903437,"rgb(94,119,66)",0.535538571855151,-0.05154427829061959,0.06337232662029106,0.0026552900571598158,"rgb(94,119,66)",0.535538571855151,-0.05154427829061959,0.06337232662029106,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,咖啡色,咖啡,0.005554523143674075,"rgb(120,72,41)",0.4497158226170178,0.049035824924731165,0.06226248870799435,0.006171109168401459,"rgb(120,72,41)",0.44971582261701787,0.049035824924731165,0.06226248870799435,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,品红色,品红,0.00448952595942753,"rgb(228,65,164)",0.6417729994162418,0.21412955711140125,-0.045493912778341715,0.006947548342662224,"rgb(228,65,164)",0.6417729994162417,0.21412955711140133,-0.0454939127783417,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,土色,土,0.0033523389310573595,"rgb(182,142,76)",0.6694636701736629,0.02002430065619559,0.09428237988281081,0.0014771893843598726,"rgb(182,142,76)",0.6694636701736629,0.02002430065619559,0.09428237988281081,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,土黄色,土黄,0.017690208740511963,"rgb(210,169,53)",0.7516263130585993,0.0044489492274486795,0.1361584622694817,0.018875509719992484,"rgb(210,169,53)",0.751626313058599,0.004448949227448678,0.13615846226948178,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,大红色,大红,0.0023843775465505535,"rgb(229,21,45)",0.5865227773605804,0.20909744890286341,0.09574092787037795,0.00531940738908606,"rgb(229,21,45)",0.5865227773605803,0.2090974489028634,0.09574092787037797,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,天蓝色,天蓝,0.028277145566701776,"rgb(66,192,242)",0.7596252223272706,-0.08513807072705029,-0.09699943026585736,0.02042893312637517,"rgb(66,192,242)",0.7596252223272703,-0.08513807072705028,-0.09699943026585742,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,嫩绿色,嫩绿,0.0012233360516285725,"rgb(135,229,114)",0.8380844623519204,-0.13488065999640886,0.11381264608359482,0.0014503261257997704,"rgb(135,229,114)",0.8380844623519205,-0.13488065999640886,0.11381264608359482,,,,,,,,,,
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,宝蓝色,宝蓝,0.005880860689614698,"rgb(8,83,229)",0.5063206007611992,-0.03098172683607133,-0.22820769095574914,0.002713967751371963,"rgb(8,83,229)",0.5063206007611992,-0.030981726836071335,-0.2282076909557491,,,,,,,,,,
