lang,langAbv,numLineNames,numFullNames,numLineColorTerms,numFullColorTerms
"Abkhaz (аҧсуа бызшәа, аҧсшәа)",ab,13,0,0,0
Afar (Afaraf),aa,12,0,0,0
Afrikaans (Afrikaans),af,60,0,0,0
Akan (Akan),ak,34,0,0,0
Albanian (Shqip),sq,71,12,0,0
Amharic (አማርኛ),am,72,0,0,0
Arabic (العربية),ar,820,180,20,0
Assamese (অসমীয়া),as,0,12,0,0
Azerbaijani (azərbaycan dili),az,46,0,0,0
"Bengali, Bangla (বাংলা)",bn,62,385,2,6
bisaya,bisaya,36,0,0,0
Bulgarian (български език),bg,423,149,16,1
Burmese (ဗမာစာ),my,72,0,0,0
Cape Verdean Creol,Cape Verdean Creol,12,0,0,0
Catalan (català),ca,433,71,14,0
"Chichewa, Chewa, Nyanja (chiCheŵa, chinyanja)",ny,35,12,0,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,1709,6482,59,91
Cree (ᓀᐦᐃᔭᐍᐏᐣ),cr,12,0,0,0
Croatian (hrvatski jezik),hr,184,96,8,0
"Czech (čeština, český jazyk)",cs,648,70,12,0
Danish (dansk),da,926,108,24,1
"Dutch (Nederlands, Vlaams)",nl,852,1770,26,22
English (English),en,52701,182971,338,643
"Estonian (eesti, eesti keel)",et,310,72,15,0
Filipino,Filipino,23,0,0,0
"Finnish (suomi, suomen kieli)",fi,837,671,22,14
"French (français, langue française)",fr,2162,3462,48,47
Georgian (ქართული),ka,111,0,6,0
German (Deutsch),de,2640,5306,49,65
Greek (modern) (ελληνικά),el,964,170,21,1
Gujarati (ગુજરાતી),gu,32,352,0,0
Hebrew (modern) (עברית),he,598,72,16,1
"Hindi (हिन्दी, हिंदी)",hi,169,1478,7,14
Hungarian (magyar),hu,730,72,25,0
Indonesian (Bahasa Indonesia),id,729,178,21,0
Irish (Gaeilge),ga,36,0,0,0
Italian (italiano),it,2059,573,39,11
Ixil,Ixil,36,0,0,0
Japanese (日本語 (にほんご)),ja,217,15,10,0
Kannada (ಕನ್ನಡ),kn,24,145,0,3
Konkani,Konkani,0,7,0,0
"Korean (한국어, 조선어)",ko,2995,13503,72,139
Latvian (latviešu valoda),lv,97,0,0,0
Lithuanian (lietuvių kalba),lt,416,0,12,0
"Luxembourgish, Letzeburgesch (Lëtzebuergesch)",lb,46,0,0,0
Macedonian (македонски јазик),mk,216,26,9,0
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,425,48,14,0
Malayalam (മലയാളം),ml,74,305,3,4
Manipuri,Manipuri,0,10,0,0
Marathi (Marāṭhī) (मराठी),mr,55,375,3,4
Marwadi,Marwadi,0,12,0,0
Mauritian creole,Mauritian creole,36,0,0,0
Mongolian (Монгол хэл),mn,0,36,0,0
Nepali (नेपाली),ne,104,47,0,0
Norwegian (Norsk),no,47,0,0,0
Norwegian Bokmål (Norsk bokmål),nb,637,108,19,0
Norwegian Nynorsk (Norsk nynorsk),nn,72,0,0,0
"Occitan (occitan, lenga d'òc)",oc,12,0,0,0
Oriya (ଓଡ଼ିଆ),or,0,37,0,0
"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",pa,48,156,0,0
"Pashto, Pushto (پښتو)",ps,16,36,0,0
Persian (Farsi) (فارسی),fa,1005,3174,26,45
"Polish (język polski, polszczyzna)",pl,1454,1552,27,23
Portuguese (português),pt,1454,2025,31,28
Romanian (limba română),ro,834,370,25,5
Russian (Русский),ru,1255,2431,34,43
Samoan (gagana fa'a Samoa),sm,28,0,0,0
Serbian (српски језик),sr,250,34,10,0
"Sindhi (सिन्धी, سنڌي، سندھی‎)",sd,0,24,0,0
"Sinhalese, Sinhala (සිංහල)",si,48,0,0,0
"Slovak (slovenčina, slovenský jazyk)",sk,180,107,8,0
"Slovene (slovenski jezik, slovenščina)",sl,252,36,12,0
"Somali (Soomaaliga, af Soomaali)",so,4,0,0,0
Spanish (español),es,2396,5083,45,64
Sundanese (Basa Sunda),su,48,0,0,0
Swahili (Kiswahili),sw,0,27,0,0
Swedish (svenska),sv,1445,1107,23,21
Tagalog (Wikang Tagalog),tl,155,71,0,0
Tamil (தமிழ்),ta,87,386,2,5
telugu,telugu,0,4,0,0
Telugu (తెలుగు),te,70,169,0,0
Thai (ไทย),th,408,36,15,0
Turkish (Türkçe),tr,904,366,19,6
Ukrainian (Українська),uk,202,144,13,0
Urdu (اردو),ur,80,263,4,4
Vietnamese (Tiếng Việt),vi,729,36,28,0
Welsh (Cymraeg),cy,12,0,0,0
Yoruba (Yorùbá),yo,36,0,0,0
