lang,langAbv,numLineNames,numFullNames,numLineColorTerms,numFullColorTerms
"Abkhaz (аҧсуа бызшәа, аҧсшәа)",ab,13,0,0,0
Afar (Afaraf),aa,12,0,0,0
Afrikaans (Afrikaans),af,60,0,0,0
Akan (Akan),ak,34,0,0,0
Albanian (Shqip),sq,71,12,0,0
Amharic (አማርኛ),am,72,0,0,0
Arabic (العربية),ar,833,297,20,3
Assamese (অসমীয়া),as,0,47,0,0
Azerbaijani (azərbaycan dili),az,46,0,0,0
"Bengali, Bangla (বাংলা)",bn,62,567,3,10
Bihari (भोजपुरी),bh,0,35,0,0
bisaya,bisaya,36,0,0,0
Bulgarian (български език),bg,423,149,16,1
Burmese (ဗမာစာ),my,72,0,0,0
Cape Verdean Creol,Cape Verdean Creol,12,0,0,0
Catalan (català),ca,433,107,14,0
Chamorro (Chamoru),ch,0,12,0,0
"Chichewa, Chewa, Nyanja (chiCheŵa, chinyanja)",ny,35,12,0,0
"Chinese (中文 (Zhōngwén), 汉语, 漢語)",zh,1720,6530,59,91
Cree (ᓀᐦᐃᔭᐍᐏᐣ),cr,12,0,0,0
Croatian (hrvatski jezik),hr,184,196,9,5
"Czech (čeština, český jazyk)",cs,648,243,12,1
Danish (dansk),da,926,144,24,2
"Dutch (Nederlands, Vlaams)",nl,888,1970,27,23
English (English),en,54583,202634,343,695
"Estonian (eesti, eesti keel)",et,310,72,15,0
Filipino,Filipino,23,0,0,0
"Finnish (suomi, suomen kieli)",fi,837,671,22,14
"French (français, langue française)",fr,2162,3890,48,52
Georgian (ქართული),ka,111,0,6,0
German (Deutsch),de,2640,5706,49,69
Greek (modern) (ελληνικά),el,964,206,21,1
Gujarati (ગુજરાતી),gu,52,508,1,5
Hebrew (modern) (עברית),he,598,72,16,1
"Hindi (हिन्दी, हिंदी)",hi,216,2269,7,20
Hungarian (magyar),hu,730,108,25,0
Indonesian (Bahasa Indonesia),id,729,225,21,2
Irish (Gaeilge),ga,36,0,0,0
Italian (italiano),it,2059,853,40,15
Ixil,Ixil,36,0,0,0
Japanese (日本語 (にほんご)),ja,217,15,10,0
Kannada (ಕನ್ನಡ),kn,24,199,0,4
"Kashmiri (कश्मीरी, كشميري‎)",ks,0,21,0,0
Konkani,Konkani,0,11,0,0
"Korean (한국어, 조선어)",ko,2995,13503,72,139
Latvian (latviešu valoda),lv,97,0,0,0
Lithuanian (lietuvių kalba),lt,416,0,12,0
"Luxembourgish, Letzeburgesch (Lëtzebuergesch)",lb,46,0,0,0
Macedonian (македонски јазик),mk,216,26,9,0
"Malay (bahasa Melayu, بهاس ملايو‎)",ms,425,83,14,0
Malayalam (മലയാളം),ml,81,500,5,6
Manipuri,Manipuri,0,10,0,0
Marathi (Marāṭhī) (मराठी),mr,55,678,3,10
Marwadi,Marwadi,0,12,0,0
Mauritian creole,Mauritian creole,36,0,0,0
Mongolian (Монгол хэл),mn,0,36,0,0
Nepali (नेपाली),ne,104,72,0,0
Norwegian (Norsk),no,47,0,0,0
Norwegian Bokmål (Norsk bokmål),nb,637,108,19,0
Norwegian Nynorsk (Norsk nynorsk),nn,72,0,0,0
"Occitan (occitan, lenga d'òc)",oc,12,0,0,0
Odia,Odia,12,0,0,0
Oriya (ଓଡ଼ିଆ),or,0,37,0,0
"Panjabi, Punjabi (ਪੰਜਾਬੀ, پنجابی‎)",pa,48,108,0,0
"Pashto, Pushto (پښتو)",ps,16,36,0,0
Persian (Farsi) (فارسی),fa,1005,3209,26,45
"Polish (język polski, polszczyzna)",pl,1454,1616,27,27
Portuguese (português),pt,1454,2097,31,29
Romanian (limba română),ro,869,548,25,9
Russian (Русский),ru,1255,2506,34,44
Samoan (gagana fa'a Samoa),sm,28,0,0,0
Serbian (српски језик),sr,250,68,10,0
"Sindhi (सिन्धी, سنڌي، سندھی‎)",sd,0,57,0,0
"Sinhalese, Sinhala (සිංහල)",si,48,36,0,0
"Slovak (slovenčina, slovenský jazyk)",sk,180,179,8,1
"Slovene (slovenski jezik, slovenščina)",sl,252,72,12,0
"Somali (Soomaaliga, af Soomaali)",so,4,0,0,0
Spanish (español),es,2432,5154,46,64
Sundanese (Basa Sunda),su,48,0,0,0
Swahili (Kiswahili),sw,0,42,0,0
Swedish (svenska),sv,1445,1107,23,21
Tagalog (Wikang Tagalog),tl,191,105,7,2
Tamil (தமிழ்),ta,92,435,3,5
telugu,telugu,0,4,0,0
Telugu (తెలుగు),te,70,302,2,4
Thai (ไทย),th,408,36,15,0
Turkish (Türkçe),tr,940,606,19,12
Ukrainian (Українська),uk,202,144,13,0
Urdu (اردو),ur,138,643,7,10
Vietnamese (Tiếng Việt),vi,729,36,28,0
Welsh (Cymraeg),cy,12,0,0,0
Yoruba (Yorùbá),yo,36,24,0,0
